only_date,only_date
2021-08-26,6
2021-08-27,132
2021-08-28,60
2021-08-29,4
2021-09-08,1
2021-09-17,2
2021-10-13,1
2021-11-25,16
2021-11-26,29
2021-11-27,8
2021-12-05,1
2021-12-24,5
2021-12-29,5
2021-12-30,1
2022-02-01,5
2022-03-12,2
2022-07-26,3
2022-09-12,1
2022-10-18,3
2022-10-19,171
2022-10-20,54
2022-10-21,30
2022-10-26,4
2022-10-27,58
2022-10-28,137
2022-10-30,20
2022-10-31,66
2022-11-01,67
2022-11-02,41
2022-11-03,96
2022-11-04,49
2022-11-07,21
2022-11-08,45
2022-11-09,5
2022-11-10,60
2022-11-11,83
2022-11-12,55
2022-11-13,42
2022-11-14,90
2022-11-15,88
2022-11-16,67
2022-11-17,113
2022-11-18,119
2022-11-20,15
2022-11-21,51
2022-11-22,96
2022-11-23,88
2022-11-24,122
2022-11-25,72
2022-11-26,22
2022-11-27,1
2022-11-28,38
2022-11-29,60
2022-11-30,61
2022-12-01,36
2022-12-02,16
2022-12-04,14
2022-12-05,23
2022-12-06,76
2022-12-07,58
2022-12-08,82
2022-12-09,101
2022-12-10,10
2022-12-11,6
2022-12-12,71
2022-12-13,113
2022-12-14,99
2022-12-15,152
2022-12-16,94
2022-12-17,9
2022-12-18,6
2022-12-19,100
2022-12-20,166
2022-12-21,153
2022-12-22,99
2022-12-23,104
2022-12-26,78
2022-12-27,94
2022-12-28,119
2022-12-29,122
2022-12-30,60
2022-12-31,28
2023-01-01,36
2023-01-02,116
2023-01-03,159
2023-01-04,163
2023-01-05,184
2023-01-06,173
2023-01-07,89
2023-01-08,95
2023-01-09,265
2023-01-10,151
2023-01-11,198
2023-01-12,198
2023-01-13,238
2023-01-14,87
2023-01-15,95
2023-01-16,187
2023-01-17,181
2023-01-18,142
2023-01-19,205
2023-01-20,1
